"JohnDingell"	D
"JohnConyers"	D
"JohnBercow"	F
"JohnAshcroft"	R
"JoeKennedyIII"	D
"JoaquinCastro"	D
"JeffDenham"	R
"JanBrewer"	R
"JamieMetzl"	D
"JamesKnoxPolk"	D
"JamesInhofe"	R
"JamesERisch"	R
"IsmailKhan"	F
"IsaacHerzog"	F
"IlhanOmar"	F
"HubertHumphrey"	D
"HenryCuellar"	D
"HarveyMilk"	D
"HalRogers"	R
"HafezAl-Assad"	F
"GregWalden"	R
"GoodluckJonathan"	F
"GeorgeWRomney"	R
"GeertWilders"	F
"GavinNewsom"	D
"GaryRHerbert"	R
"FulgencioBatista"	F
"FrankPallone"	D
"FrancoisDuvalier"	F
"EvoMorales"	F
"EdRoyce"	R
"EdRogers"	X
"EdmundMuskie"	D
"DonaldYee"	X
"DonaldTusk"	F
"DmitryMedvedev"	F
"DilmaRousseff"	F
"DickArmey"	R
"DevalPatrick"	D
"DennisRoss"	R
"DengXiaoping"	F
"DeborahHersman"	D
"DebbieStabenow"	D
"DeanSkelos"	R
"DavidShulkin"	O
"DavidObey"	D
"DavidMiliband"	F
"DavidIge"	D
"DavidDinkins"	D
"DavidBonior"	D
"DaveEdwards"	X
"DannyDavis"	D
"DanielAkaka"	D
"CristinaFernandezDeKirchner"	F
"ChesterAArthur"	R
"CharlesRangel"	D
"CathyMcMorris"	R
"CarolynMcCarthy"	D
"BrianFitzpatrick"	R
"BorisYeltsin"	F
"BobGraham"	D
"BillSimon"	R
"BillNelson"	D
"BillCassidy"	R
"BenitoMussolini"	F
"BenAllen"	D
"BarryGoldwater"	R
"BarbaraMikulski"	D
"BarbaraBoxer"	D
"ArielSharon"	F
"AndyBarr"	R
"AndreCarson"	D
"AmyKlobuchar"	D
"AliceHausman"	D
"AlexisTsipras"	F
"AlexandriaOcasioCortez"	D
"AlanSimpson"	R
"ZhouEnlai"	F
"Zhou"	X
"YvetteCooper"	F
"YuvalSteinitz"	F
"YisraelGalili"	F
"YingluckShinawatra"	F
"YangJiechi"	F
"WilliamSulzer"	D
"WilliamMcShan"	X
"WilliamJenningsBryan"	D
"WilliamJefferson"	X
"WilliamHalsteadSutphin"	X
"WilliamHague"	F
"WilliamEMiller"	X
"WilliamEDannemeyer"	R
"WilliamDonaldSchaefer"	D
"WilliamAONeill"	F
"WillamCHughes"	X
"WenJiabao"	F
"WendyDavis"	D
"WayneHays"	X
"WangQishan"	F
"WalterUlbricht"	F
"WalterScheel"	F
"WalterBJones"	R
"WallyHerger"	R
"VinWeber"	R
"ViktorOrban"	F
"VickyHartzler"	R
"VanTran"	R
"ValDemmings"	D
"TreyRadel"	R
"TrentFranks"	R
"ToomasHendrikIlves"	F
"TonyKnowles"	D
"TonyCardenas"	D
"TomVandergriff"	X
"TomTancredo"	R
"TomRooney"	R
"TomReynolds"	R
"TomHansen"	X
"TomGraves"	R
"TomEmmer"	R
"TomCorbett"	R
"TomCole"	R
"TomBradley"	D
"TomBarrett"	D
"ToddAkin"	R
"TinaSmith"	D
"ThomasEagleton"	D
"ThomasBrackettReed"	X
"ThomasAdams"	X
"TheinSein"	F
"TedKaufman"	D
"TandjaMamadou"	F
"SuzanneScholte"	R
"SusanBysiewicz"	D
"SteveWoods"	X
"SteveScalise"	R
"SteveRaby"	D
"StevenPalazzo"	R
"SteveNovick"	D
"StevenOlsen"	R
"StevenLaTourette"	R
"SteveIsrael"	D
"SteveGreenberg"	R
"StephenSmith"	X
"StephenMurray"	X
"StephenFincher"	R
"StephenClarkFoster"	X
"StephanieRawlings-Blake"	D
"SpiroTAgnew"	R
"SonnyPerdue"	R
"Solon"	F
"SlobodanMilosevic"	F
"SirSusanthaDeFonseka"	F
"SilvestreReyes"	D
"ShirleyFranklin"	D
"ShinzoAbe"	F
"SheilaFrahm"	R
"SharronAngle"	R
"SharpeJames"	D
"SethMoulton"	D
"SethADavis"	X
"ScottRTipton"	R
"ScottPruitt"	R
"ScottMcInnis"	X
"ScottBeason"	R
"SaudBinFaisalBinAbdulAzizAlSaud"	F
"SargentShriver"	D
"SamuelHuntington"	X
"SallaiMeridor"	F
"SaadHariri"	F
"RuthMessinger"	D
"RubenKihuen"	D
"RubenAyala"	X
"RossMirkarimi"	D
"RonKlein"	D
"RonJohnson"	R
"RonDeSantis"	R
"RonBarber"	D
"RomanoProdi"	F
"RomanoLMazzoli"	X
"RodrigoDuterte"	F
"RockyAnderson"	D
"RobSimmons"	R
"RobinTallon"	D
"RobinCarnahan"	D
"RobinArmstrong"	X
"RobFord"	F
"RobertVasquez"	X
"RobertMorris"	X
"RobertHill"	F
"RobertFEllsworth"	X
"RobertByrd"	D
"RobertBrookman"	X
"RobertATaft"	R
"RiekMachar"	F
"RickSheehy"	X
"RickLarsen"	D
"RichardNeal"	D
"RichardMourdock"	R
"RichardMorgan"	X
"RichardMDaley"	D
"RichardJohnson"	X
"RichardBurton"	X
"RebeccaKaplan"	D
"RandyNeugebauer"	R
"RandyHultgren"	R
"RamizAlia"	F
"RalphNortham"	D
"RafaelLeonidasTrujillo"	F
"PorterGoss"	R
"PontiusPilate"	F
"PhilMurphy"	D
"PhilipPendletonBarbour"	R
"PhilippeCouillard"	F
"PhilipJCrowley"	D
"PhilipCook"	X
"PhilGingrey"	R
"PhilBryant"	R
"PeteWilson"	R
"PeterWelch"	D
"PeterShumlin"	D
"PeterRoskam"	R
"PeterEarly"	X
