"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2002-05-23",1097.079956,1192900000,0.0100812488091799,0.00565368491089137,-0.01111234576475,1294043333.33333,0.0474473970995054,-0.0564991639531814,0.175510204081633,1090.5263306,-4.72664343333349,-168166666.666667,"Up"
"2002-05-24",1083.819946,885400000,-0.0122345137206028,0.0100812488091799,0.00565368491089137,1280820000,-0.347300655071154,0.0474473970995054,-0.0564991639531814,1089.61999513333,6.55362539999987,-101143333.333333,"Down"
"2002-05-28",1074.550049,996500000,-0.00862677081316678,-0.0122345137206028,0.0100812488091799,1276690000,0.111490215755143,-0.347300655071154,0.0474473970995054,1088.6866618,-5.80004913333323,-395420000,"Down"
"2002-05-29",1067.660034,1081800000,-0.00645337914746741,-0.00862677081316678,-0.0122345137206028,1268040000,0.0788500647069699,0.111490215755143,-0.347300655071154,1086.66299643333,-14.1366128,-280190000,"Down"
"2002-05-30",1064.660034,1286600000,-0.00281780089812219,-0.00645337914746741,-0.00862677081316678,1265030000,0.159179232084564,0.0788500647069699,0.111490215755143,1084.61599936667,-19.0029624333333,-186240000,"Down"
"2002-05-31",1067.140015,1277300000,0.00232395090160681,-0.00281780089812219,-0.00645337914746741,1262296666.66667,-0.00728098332419948,0.159179232084564,0.0788500647069699,1082.70500083333,-19.9559653666668,21570000,"Up"
"2002-06-03",1040.680054,1324300000,-0.025425644412322,0.00232395090160681,-0.00281780089812219,1266940000,0.0354904477837348,-0.00728098332419948,0.159179232084564,1079.88866783333,-15.5649858333334,15003333.3333333,"Down"
"2002-06-04",1040.689941,1466600000,9.50042813968403e-06,-0.025425644412322,0.00232395090160681,1276433333.33333,0.0970271375971635,0.0354904477837348,-0.00728098332419948,1077.65066733333,-39.2086138333334,57360000,"Up"
"2002-06-05",1049.900024,1300100000,0.00877234287976351,9.50042813968403e-06,-0.025425644412322,1273486666.66667,-0.12806707176371,0.0970271375971635,0.0354904477837348,1075.94866943333,-36.9607263333332,190166666.666667,"Up"
"2002-06-06",1029.150024,1601500000,-0.0201622693641408,0.00877234287976351,9.50042813968403e-06,1281096666.66667,0.188198563846394,-0.12806707176371,0.0970271375971635,1073.81566973333,-26.0486454333334,26613333.3333333,"Down"
"2002-06-07",1027.530029,1341300000,-0.00157659139322343,-0.0201622693641408,0.00877234287976351,1275226666.66667,-0.193990904346529,0.188198563846394,-0.12806707176371,1071.6840047,-44.6656457333333,320403333.333333,"Down"
"2002-06-10",1030.73999,1226200000,0.00311422961284351,-0.00157659139322343,-0.0201622693641408,1270293333.33333,-0.0938672320991682,-0.193990904346529,0.188198563846394,1070.16467283333,-44.1539757,66073333.3333333,"Up"
"2002-06-11",1013.599976,1212400000,-0.0169100378905298,0.00311422961284351,-0.00157659139322343,1266883333.33333,-0.011382382052128,-0.0938672320991682,-0.193990904346529,1068.43634033333,-39.4246828333332,-44093333.3333333,"Down"
"2002-06-12",1020.26001,1795720000,0.00652778108984199,-0.0169100378905298,0.00311422961284351,1272454000,0.324839061769095,-0.011382382052128,-0.0938672320991682,1066.54767253333,-54.8363643333334,-54483333.3333333,"Up"
"2002-06-13",1009.559998,1405500000,-0.0105986885585774,0.00652778108984199,-0.0169100378905298,1270924000,-0.27763785129847,0.324839061769095,-0.011382382052128,1063.98434043333,-46.2876625333333,523266000,"Down"
"2002-06-14",1007.27002,1.549e+09,-0.00227344997322556,-0.0105986885585774,0.00652778108984199,1277090666.66667,0.092640413169787,-0.27763785129847,0.324839061769095,1061.4080058,-54.4243424333335,134576000,"Down"
"2002-06-17",1036.170044,1236600000,0.0278911981362008,-0.00227344997322556,-0.0105986885585774,1275494000,-0.252628174025554,0.092640413169787,-0.27763785129847,1060.16600546667,-54.1379858000001,271909333.333333,"Up"
"2002-06-18",1037.140015,1193100000,0.000935236309438882,0.0278911981362008,-0.00227344997322556,1277844000,-0.0364596429469449,-0.252628174025554,0.092640413169787,1059.64833783333,-23.9959614666668,-38894000,"Up"
"2002-06-19",1019.98999,1336100000,-0.0168139150071462,0.000935236309438882,0.0278911981362008,1277224000,0.107027917072075,-0.0364596429469449,-0.252628174025554,1058.6650045,-22.5083228333333,-84744000,"Down"
"2002-06-20",1006.289978,1389700000,-0.0136143778627596,-0.0168139150071462,0.000935236309438882,1273480666.66667,0.038569475426351,0.107027917072075,-0.0364596429469449,1055.91300456667,-38.6750144999999,58876000,"Down"
"2002-06-21",989.140015,1497200000,-0.017338256202283,-0.0136143778627596,-0.0168139150071462,1284954000,0.071800694629976,0.038569475426351,0.107027917072075,1053.11733806667,-49.6230265666668,116219333.333333,"Down"
"2002-06-24",992.719971,1552600000,0.00360620930834486,-0.017338256202283,-0.0136143778627596,1297644000,0.0356820816694577,0.071800694629976,0.038569475426351,1051.04167076667,-63.9773230666667,212246000,"Up"
"2002-06-25",976.140015,1513700000,-0.0169852231700593,0.00360620930834486,-0.017338256202283,1311814000,-0.0256986192772676,0.0356820816694577,0.071800694629976,1047.76100263333,-58.3216997666668,254956000,"Down"
"2002-06-26",973.530029,2014290000,-0.00268095068693555,-0.0169852231700593,0.00360620930834486,1331807000,0.248519329391498,-0.0256986192772676,0.0356820816694577,1043.63600263333,-71.6209876333335,201886000,"Down"
"2002-06-27",990.640015,1908600000,0.0172716483696653,-0.00268095068693555,-0.0169852231700593,1348087000,-0.0553756680289217,0.248519329391498,-0.0256986192772676,1040.28833826667,-70.1059736333334,682483000,"Up"
"2002-06-28",989.820007,2.117e+09,-0.000828441528965696,0.0172716483696653,-0.00268095068693555,1376767000,0.0984411903637222,-0.0553756680289217,0.248519329391498,1036.6746725,-49.6483232666667,560513000,"Down"
"2002-07-01",968.650024,1425500000,-0.0218551411505462,-0.000828441528965696,0.0172716483696653,1381803666.66667,-0.485092949842161,0.0984411903637222,-0.0553756680289217,1032.07667443333,-46.8546655,740233000,"Down"
"2002-07-02",948.090027,1.823e+09,-0.0216857011617949,-0.0218551411505462,-0.000828441528965696,1409577000,0.218047174986286,-0.485092949842161,0.0984411903637222,1027.28367516667,-63.4266504333334,43696333.3333333,"Down"
"2002-07-03",953.98999,1527800000,0.00618451248110064,-0.0216857011617949,-0.0218551411505462,1420487000,-0.193219007723524,0.218047174986286,-0.485092949842161,1023.08734133333,-79.1936481666667,413423000,"Up"
"2002-07-05",989.030029,699400000,0.0354286907096528,0.00618451248110064,-0.0216857011617949,1405923666.66667,-1.18444380897912,-0.193219007723524,0.218047174986286,1019.85434163333,-69.0973513333333,107313000,"Up"
"2002-07-08",976.97998,1184400000,-0.0123339774065791,0.0354286907096528,0.00618451248110064,1405640333.33333,0.409490037149612,-1.18444380897912,-0.193219007723524,1015.8510091,-30.8243126333334,-706523666.666667,"Down"
"2002-07-09",952.830017,1348900000,-0.0253455102894811,-0.0123339774065791,0.0354286907096528,1421090333.33333,0.121951219512195,0.409490037149612,-1.18444380897912,1011.48467813333,-38.8710291000001,-221240333.333333,"Down"
"2002-07-10",920.469971,1816900000,-0.0351560040191686,-0.0253455102894811,-0.0123339774065791,1448437000,0.257581595024492,0.121951219512195,0.409490037149612,1006.34867553333,-58.6546611333333,-72190333.3333333,"Down"
"2002-07-11",927.369995,2080480000,0.00744042187821704,-0.0351560040191686,-0.0253455102894811,1481726333.33333,0.126691917249865,0.257581595024492,0.121951219512195,1001.6723409,-85.8787045333335,368463000,"Up"
"2002-07-12",921.390015,1607400000,-0.00649017235117321,0.00744042187821704,-0.0351560040191686,1492419666.66667,-0.2943137986811,0.126691917249865,0.257581595024492,996.8966736,-74.3023459000001,598753666.666667,"Down"
"2002-07-15",917.929993,2574800000,-0.0037693745997904,-0.00649017235117321,0.00744042187821704,1535669666.66667,0.375718502407954,-0.2943137986811,0.126691917249865,991.9230062,-75.5066586,114980333.333333,"Down"
"2002-07-16",900.940002,1843700000,-0.0188580715278307,-0.0037693745997904,-0.00649017235117321,1552983000,-0.396539567174703,0.375718502407954,-0.2943137986811,987.265004466667,-73.9930132000001,1039130333.33333,"Down"
"2002-07-17",906.039978,2566500000,0.00562886420448874,-0.0188580715278307,-0.0037693745997904,1589646333.33333,0.28162867718683,-0.396539567174703,0.375718502407954,982.776672366667,-86.3250024666667,290717000,"Up"
