"","STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","DATA"
"3887","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-20",NA,73,53,68,1962-06-20
"3888","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-21",NA,77,57,67,1962-06-21
"3889","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-22",NA,79,58,77,1962-06-22
"3890","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-23",NA,78,58,74,1962-06-23
"3891","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-24",NA,83,59,81,1962-06-24
"3892","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-25",NA,82,61,82,1962-06-25
"3893","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-26",NA,82,56,78,1962-06-26
"3894","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-27",NA,85,63,85,1962-06-27
"3895","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-28",NA,89,70,86,1962-06-28
"3896","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-29",NA,87,61,85,1962-06-29
"3897","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-30",NA,85,57,76,1962-06-30
"3898","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-01",NA,76,62,63,1962-07-01
"3899","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-02",NA,69,60,68,1962-07-02
"3900","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-03",NA,80,63,77,1962-07-03
"3901","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-04",NA,79,65,68,1962-07-04
"3902","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-05",NA,78,59,75,1962-07-05
"3903","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-06",NA,80,61,79,1962-07-06
"3904","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-07",NA,86,62,66,1962-07-07
"3905","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-08",NA,73,57,71,1962-07-08
"3906","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-09",NA,NA,57,NA,1962-07-09
"3907","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-10",NA,82,NA,79,1962-07-10
"3908","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-11",NA,79,54,76,1962-07-11
"3909","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-07-12",NA,78,60,77,1962-07-12
