Entity["Person", "ImranKhan::m7552"]	Missing["Alive"]	{Entity["Country", "Pakistan"]}
Entity["Person", "HRMcMaster::t43yn"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "HenryCabotLodge::9z82g"]	DateObject[{1924, 11, 9}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "GerhardSchroder::6j25j"]	Missing["Alive"]	{Entity["Country", "Germany"]}
Entity["Person", "GeorgeOsborne::w45ss"]	Missing["Alive"]	{Entity["Country", "UnitedKingdom"]}
Entity["Person", "GaryPalmer::h3453"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "GamalMubarak::853f7"]	Missing["NotAvailable"]	{Entity["Country", "Egypt"]}
Entity["Person", "FrankWalterSteinmeier::32k79"]	Missing["Alive"]	{Entity["Country", "Germany"]}
Entity["Person", "EverettDirksen::pyz4t"]	DateObject[{1969, 9, 7}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "EdwardBrooke::456py"]	DateObject[{2015, 1, 3}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "DianaDeGette::tdy67"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "DavidJKramer::44f33"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "DanaRohrabacher::5w8v3"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ChuckFleischmann::578q2"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ChristopherCoons::6rf88"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ChrisSununu::5695r"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "CheriBustos::95c73"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "CarlosCurbelo::759f5"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "BruceRauner::yxn4z"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "BobWalkup::5wpvy"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "BillRitter::zv747"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "BillHuizenga::dcb33"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "AmiBera::br7cc"]	Missing["NotAvailable"]	{Entity["Country", "India"], Entity["Country", "UnitedStates"]}
Entity["Person", "AlistairDarling::r3d54"]	Missing["Alive"]	{Entity["Country", "UnitedKingdom"]}
Entity["Person", "AdrianoEspaillat::wzg8r"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "AdrianFenty::4zdgq"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "AbdulQadir::3whjp"]	DateObject[{2002, 7, 6}, "Day", "Gregorian", -5.]	{Entity["Country", "Afghanistan"]}
Entity["Person", "AbdullahAbdullah::5bp9c"]	Missing["Alive"]	{Entity["Country", "Afghanistan"]}
Entity["Person", "AbdoulayeWade::y5t5z"]	Missing["Alive"]	{Entity["Country", "Senegal"]}
Entity["Person", "AbdelFattahElSisi::v49q3"]	Missing["Alive"]	{Entity["Country", "Egypt"]}
Entity["Person", "AaronSchock::284hx"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ZulfikarAliBhutto::vw5p7"]	DateObject[{1979, 4, 4}, "Day", "Gregorian", -5.]	{Entity["Country", "Pakistan"]}
Entity["Person", "ZevYaroslavsky::y4svz"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "YurikoKoike::gjbc3"]	Missing["NotAvailable"]	{Entity["Country", "Japan"]}
Entity["Person", "YossiBeilin::f47pv"]	Missing["Alive"]	{Entity["Country", "Israel"]}
Entity["Person", "YangShen::2q34m"]	DateObject[{1559}, "Year", "Gregorian", -5.]	{Missing["NotAvailable"]}
Entity["Person", "WilliamWinter::762x4"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "WarrenStewart::89j9m"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "WarrenDavidson::2vnsm"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "VivianeReding::3yh96"]	Missing["Alive"]	{Entity["Country", "Luxembourg"]}
Entity["Person", "ViktorChernomyrdin::7js79"]	DateObject[{2010, 11, 3}, "Day", "Gregorian", -5.]	{Entity["Country", "Russia"]}
Entity["Person", "VictorGAtiyeh::4jfck"]	DateObject[{2014, 7, 20}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "VicenteFox::y9936"]	Missing["Alive"]	{Entity["Country", "Mexico"]}
Entity["Person", "UmaruYarAdua::72bz9"]	DateObject[{2010, 5, 5}, "Day", "Gregorian", -5.]	{Entity["Country", "Nigeria"]}
Entity["Person", "TonySalazar::8766m"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "TomWeisner::863x9"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TomReed::hg9h8"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TomPerriello::wsss6"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TomMcClintock::bs7w7"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TomMann::362r2"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "ToddTiahrt::3pt4f"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ToddRokita::99t79"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TimothyHealy::p6882"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ThomRTillis::xfz9d"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "ThomasSuozzi::y6yxp"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ThomasCSawyer::g33cx"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TerriSewell::n958r"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "TerrenceMurphy::5nv4m"]	DateObject[{2008, 7, 12}, "Day", "Gregorian", -5.]	{Entity["Country", "Canada"]}
Entity["Person", "TehminaDurrani::7d8n7"]	Missing["Alive"]	{Entity["Country", "Pakistan"]}
Entity["Person", "TaurMatanRuak::c4xm8"]	Missing["Alive"]	{Entity["Country", "EastTimor"]}
Entity["Person", "SuzanneMubarak::535bs"]	Missing["NotAvailable"]	{Entity["Country", "Egypt"]}
Entity["Person", "SuzanDelBene::m95m7"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SusanMolinari::v8c2f"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SusanBrooks::z939z"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "SultanAhmed::384zx"]	DateObject[{2017, 9, 4}, "Day", "Gregorian", -5.]	{Entity["Country", "India"]}
Entity["Person", "StewartUdall::69f8c"]	DateObject[{2010, 3, 20}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SteveWNichols::34j85"]	Missing["NotAvailable"]	Missing["NotAvailable"]
Entity["Person", "SteveStockman::8953q"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SteveSoutherland::j2942"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SteveChabot::9zs64"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "StefanLofven::383pd"]	Missing["Alive"]	{Entity["Country", "Sweden"]}
Entity["Person", "SpencerJarnagin::9573y"]	DateObject[{1853, 6, 25}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SpencerBachus::c972t"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SpencerAbraham::w4cmd"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "SivertTodal::p5nrp"]	DateObject[{1988, 9, 30}, "Day", "Gregorian", -5.]	{Entity["Country", "Norway"]}
Entity["Person", "SigmarGabriel::m9n49"]	Missing["Alive"]	{Entity["Country", "Germany"]}
